カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
システム設定	Controllers/SettingController.php:188	'message' => '設定を更新しました',	settings.settingcontroller.l188	P1
システム設定	Controllers/SettingController.php:196	'error' => '一部の設定の更新に失敗しました',	settings.settingcontroller.l196	P1
バリデーション	Controllers/SettingController.php:207	'error' => '設定の更新中にエラーが発生しました: ' . $e->getMessage(),	validation.settingcontroller.l207	P1
システム設定	Controllers/SettingController.php:228	throw new \InvalidArgumentException('mail_transport は smtp/sendmail/mail のいずれかを指定してください。');	settings.settingcontroller.l228	P1
バリデーション	Controllers/SettingController.php:235	throw new \InvalidArgumentException($key . ' の形式が不正です。');	validation.settingcontroller.l235	P1
システム設定	Controllers/SettingController.php:242	throw new \InvalidArgumentException('smtp_port は 1-65535 の範囲で指定してください。');	settings.settingcontroller.l242	P1
システム設定	Controllers/SettingController.php:249	throw new \InvalidArgumentException('smtp_timeout は 1-600 秒の範囲で指定してください。');	settings.settingcontroller.l249	P1
システム設定	Controllers/SettingController.php:273	throw new \InvalidArgumentException('smtp_secure は tls/ssl/空文字 のいずれかを指定してください。');	settings.settingcontroller.l273	P1
システム設定	Controllers/SettingController.php:280	throw new \InvalidArgumentException('sso_provider は oidc/saml のいずれかを指定してください。');	settings.settingcontroller.l280	P1
システム設定	Controllers/SettingController.php:287	throw new \InvalidArgumentException('sso_default_role は admin/manager/user のいずれかを指定してください。');	settings.settingcontroller.l287	P1
バリデーション	Controllers/SettingController.php:294	throw new \InvalidArgumentException('sso_default_organization_id は 1 以上の整数で指定してください。');	validation.settingcontroller.l294	P1
システム設定	Controllers/SettingController.php:300	throw new \InvalidArgumentException($key . ' は #RRGGBB 形式で指定してください。');	settings.settingcontroller.l300	P1
システム設定	Controllers/SettingController.php:306	throw new \InvalidArgumentException($key . ' は #RRGGBB 形式で指定してください。');	settings.settingcontroller.l306	P1
システム設定	Controllers/SettingController.php:312	throw new \InvalidArgumentException('pwa_vapid_subject は mailto: またはURL形式で指定してください。');	settings.settingcontroller.l312	P1
システム設定	Controllers/SettingController.php:325	throw new \InvalidArgumentException($key . ' はURL形式で指定してください。');	settings.settingcontroller.l325	P1
システム設定	Controllers/SettingController.php:335	throw new \InvalidArgumentException('scim_base_path は / から始まるパスで指定してください。');	settings.settingcontroller.l335	P1
システム設定	Controllers/SettingController.php:365	'メール送信テスト',	settings.settingcontroller.l365	P1
システム設定	Controllers/SettingController.php:366	'<h1>メール送信テスト</h1><p>このメールは通知設定のテスト送信です。</p>',	settings.settingcontroller.l366	P1
システム設定	Controllers/SettingController.php:372	'message' => 'テストメールを送信しました',	settings.settingcontroller.l372	P1
システム設定	Controllers/SettingController.php:379	'error' => 'メール送信に失敗しました: ' . $e->getMessage(),	settings.settingcontroller.l379	P1
バリデーション	Controllers/SettingController.php:415	return ['error' => 'デモデータ処理中にエラーが発生しました', 'code' => 500];	validation.settingcontroller.l415	P1
システム設定	Controllers/SettingController.php:420	'error' => $result['error'] ?? 'デモデータ処理に失敗しました',	settings.settingcontroller.l420	P1
システム設定	Controllers/SettingController.php:428	? 'デモデータを全再構築しました'	settings.settingcontroller.l428	P1
システム設定	Controllers/SettingController.php:429	: '本日から' . $years . '年分のデモデータを更新しました',	settings.settingcontroller.l429	P1
システム設定	Controllers/SettingController.php:443	return ['error' => 'SCIM関連テーブルが未作成です。db/upgrade_20260329_pwa_sso_scim.sql を適用してください。', 'code' => 409];	settings.settingcontroller.l443	P1
システム設定	Controllers/SettingController.php:449	return ['error' => 'SCIMトークンの生成に失敗しました', 'code' => 500];	settings.settingcontroller.l449	P1
モーダル	Controllers/SettingController.php:454	'message' => 'SCIMトークンを生成しました。表示される平文トークンはこの画面でのみ確認できます。',	modal.settingcontroller.l454	P1
システム設定	Controllers/SettingController.php:472	return ['error' => 'SCIM関連テーブルが未作成です。db/upgrade_20260329_pwa_sso_scim.sql を適用してください。', 'code' => 409];	settings.settingcontroller.l472	P1
バリデーション	Controllers/SettingController.php:478	return ['error' => 'トークンIDが不正です', 'code' => 422];	validation.settingcontroller.l478	P1
システム設定	Controllers/SettingController.php:484	'message' => $ok ? 'SCIMトークン状態を更新しました' : 'SCIMトークン状態の更新に失敗しました',	settings.settingcontroller.l484	P1
システム設定	Controllers/SettingController.php:512	'message' => 'バックアップを作成しました',	settings.settingcontroller.l512	P1
システム設定	Controllers/SettingController.php:518	'error' => 'バックアップ実行に失敗しました: ' . $e->getMessage(),	settings.settingcontroller.l518	P1
システム設定	Controllers/SettingController.php:548	'error' => 'バックアップ履歴の取得に失敗しました: ' . $e->getMessage(),	settings.settingcontroller.l548	P1
JS	Controllers/AddressBookController.php:58	'title' => 'アドレス帳',	js.addressbookcontroller.l58	P3
JS	Controllers/AddressBookController.php:69	'title' => '連絡先の追加',	js.addressbookcontroller.l69	P3
JS	Controllers/AddressBookController.php:111	$_SESSION['flash_message'] = '連絡先を追加しました。';	js.addressbookcontroller.l111	P3
JS	Controllers/AddressBookController.php:114	$_SESSION['flash_error'] = '保存に失敗しました: ' . $e->getMessage();	js.addressbookcontroller.l114	P3
JS	Controllers/AddressBookController.php:129	$_SESSION['flash_error'] = '連絡先が見つかりません。';	js.addressbookcontroller.l129	P3
JS	Controllers/AddressBookController.php:146	'title' => htmlspecialchars($contact['name']) . ' - アドレス帳',	js.addressbookcontroller.l146	P3
JS	Controllers/AddressBookController.php:162	$_SESSION['flash_error'] = '連絡先が見つかりません。';	js.addressbookcontroller.l162	P3
JS	Controllers/AddressBookController.php:179	'title' => '連絡先の編集',	js.addressbookcontroller.l179	P3
JS	Controllers/AddressBookController.php:217	$_SESSION['flash_message'] = '連絡先を更新しました。';	js.addressbookcontroller.l217	P3
JS	Controllers/AddressBookController.php:219	$_SESSION['flash_error'] = '更新に失敗しました。';	js.addressbookcontroller.l219	P3
JS	Controllers/AddressBookController.php:237	$_SESSION['flash_message'] = '連絡先を削除しました。';	js.addressbookcontroller.l237	P3
JS	Controllers/AddressBookController.php:239	$_SESSION['flash_error'] = '削除に失敗しました。';	js.addressbookcontroller.l239	P3
JS	Controllers/AddressBookController.php:252	$this->json(['success' => false, 'message' => '画像ファイルがありません。'], 400);	js.addressbookcontroller.l252	P3
JS	Controllers/AddressBookController.php:259	$this->json(['success' => false, 'message' => '連絡先が見つかりません。'], 404);	js.addressbookcontroller.l259	P3
JS	Controllers/AddressBookController.php:266	'message' => '名刺画像をアップロードしました。',	js.addressbookcontroller.l266	P3
JS	Controllers/AddressBookController.php:271	$this->json(['success' => false, 'message' => 'アップロードに失敗しました: ' . $e->getMessage()], 500);	js.addressbookcontroller.l271	P3
JS	Controllers/AddressBookController.php:283	$this->json(['success' => false, 'message' => '画像ファイルがありません。'], 400);	js.addressbookcontroller.l283	P3
JS	Controllers/AddressBookController.php:290	$this->json(['success' => false, 'message' => '連絡先が見つかりません。'], 404);	js.addressbookcontroller.l290	P3
JS	Controllers/AddressBookController.php:314	'message' => count($results) . '枚の名刺画像をアップロードしました。',	js.addressbookcontroller.l314	P3
JS	Controllers/AddressBookController.php:318	$this->json(['success' => false, 'message' => 'アップロードに失敗しました: ' . $e->getMessage()], 500);	js.addressbookcontroller.l318	P3
JS	Controllers/AddressBookController.php:336	$this->json(['success' => false, 'message' => '名刺画像が見つかりません。'], 404);	js.addressbookcontroller.l336	P3
JS	Controllers/AddressBookController.php:342	$this->json(['success' => false, 'message' => '画像ファイルが見つかりません。'], 404);	js.addressbookcontroller.l342	P3
バリデーション	Controllers/AddressBookController.php:367	'message' => $ocrResult['status'] === 'completed' ? 'OCR読み取りが完了しました。' : 'OCRの実行に失敗しました。手動で入力してください。'	validation.addressbookcontroller.l367	P1
JS	Controllers/AddressBookController.php:370	$this->json(['success' => false, 'message' => 'OCR処理に失敗しました: ' . $e->getMessage()], 500);	js.addressbookcontroller.l370	P3
JS	Controllers/AddressBookController.php:434	$this->json(['success' => true, 'message' => '名刺画像を削除しました。']);	js.addressbookcontroller.l434	P3
JS	Controllers/AddressBookController.php:436	$_SESSION['flash_message'] = '名刺画像を削除しました。';	js.addressbookcontroller.l436	P3
JS	Controllers/AddressBookController.php:441	$this->json(['success' => false, 'message' => '削除に失敗しました。'], 500);	js.addressbookcontroller.l441	P3
JS	Controllers/AddressBookController.php:443	$_SESSION['flash_error'] = '名刺画像の削除に失敗しました。';	js.addressbookcontroller.l443	P3
JS	Controllers/AddressBookController.php:459	$_SESSION['flash_error'] = '連絡先が見つかりません。';	js.addressbookcontroller.l459	P3
JS	Controllers/AddressBookController.php:509	$_SESSION['flash_error'] = 'エクスポートに失敗しました。';	js.addressbookcontroller.l509	P3
JS	Controllers/AddressBookController.php:520	'title' => '名刺から連絡先を追加',	js.addressbookcontroller.l520	P3
JS	Controllers/AddressBookController.php:533	$this->json(['success' => false, 'message' => '画像ファイルがありません。'], 400);	js.addressbookcontroller.l533	P3
JS	Controllers/AddressBookController.php:547	$this->json(['success' => false, 'message' => '対応していない画像形式です。JPEG, PNG, GIF, WebP, BMPに対応しています。'], 400);	js.addressbookcontroller.l547	P3
JS	Controllers/AddressBookController.php:552	$this->json(['success' => false, 'message' => 'ファイルサイズが大きすぎます（上限: 10MB）。'], 400);	js.addressbookcontroller.l552	P3
JS	Controllers/AddressBookController.php:566	$this->json(['success' => false, 'message' => 'ファイルの保存に失敗しました。'], 500);	js.addressbookcontroller.l566	P3
バリデーション	Controllers/AddressBookController.php:585	'message' => $ocrResult['status'] === 'completed' ? 'OCR読み取りが完了しました。' : 'OCRの実行に失敗しました。手動で入力してください。'	validation.addressbookcontroller.l585	P1
JS	Controllers/AddressBookController.php:588	$this->json(['success' => false, 'message' => '処理に失敗しました: ' . $e->getMessage()], 500);	js.addressbookcontroller.l588	P3
JS	Controllers/AddressBookController.php:598	$filename = basename($filename); // セキュリティ: ディレクトリトラバーサル防止	js.addressbookcontroller.l598	P3
JS	Controllers/AddressBookController.php:675	$_SESSION['flash_message'] = '名刺から連絡先を追加しました。';	js.addressbookcontroller.l675	P3
JS	Controllers/AddressBookController.php:678	$_SESSION['flash_error'] = '保存に失敗しました: ' . $e->getMessage();	js.addressbookcontroller.l678	P3
JS	Controllers/AddressBookController.php:699	throw new \Exception('対応していない画像形式です。');	js.addressbookcontroller.l699	P3
JS	Controllers/AddressBookController.php:703	throw new \Exception('ファイルサイズが大きすぎます（上限: 10MB）。');	js.addressbookcontroller.l703	P3
JS	Controllers/AddressBookController.php:716	throw new \Exception('ファイルの保存に失敗しました。');	js.addressbookcontroller.l716	P3
JS	Controllers/AddressBookController.php:871	if (preg_match('/〒?\s*(\d{3}[\-ー]\d{4})/', $text, $m)) {	js.addressbookcontroller.l871	P3
JS	Controllers/AddressBookController.php:872	$fields['postal_code'] = str_replace('ー', '-', $m[1]);	js.addressbookcontroller.l872	P3
JS	Controllers/AddressBookController.php:877	if (preg_match_all('/(?:TEL|Tel|tel|電話|Phone|ph)[\s:：]*([0-9\-（）().\s]{8,20})/', $text, $m)) {	js.addressbookcontroller.l877	P3
